Year,Crop,Region,Area (ha),Total production (t),Yield (t/ha),Selling price (RSD/kg),Seed price (RSD/kg)
2010,Barley,Belgrade Region,7297.0,23371.0,3.2,15.95,
2010,Corn,Belgrade Region,43090.0,259374.0,6.0,16.22,278.43
2010,Wheat,Belgrade Region,33256.0,111077.0,3.3,15.46,
2010,Barley,Southern and Eastern Serbia Region,22141.0,53382.0,2.4,18.21,
2010,Corn,Southern and Eastern Serbia Region,180470.0,952110.0,5.3,16.85,270.65
2010,Wheat,Southern and Eastern Serbia Region,167801.0,492394.0,2.9,16.09,
2010,Barley,Vojvodina Region,38067.0,125130.0,3.3,14.66,
2010,Corn,Vojvodina Region,576512.0,4688778.0,8.1,14.64,262.85
2010,Wheat,Vojvodina Region,310810.0,1156398.0,3.7,14.92,
2010,Barley,Sumadija and Western Serbia Region,22433.0,59115.0,2.6,17.62,
2010,Corn,Sumadija and Western Serbia Region,214499.0,1306929.0,6.1,16.62,273.28
2010,Wheat,Sumadija and Western Serbia Region,107536.0,325660.0,3.0,17.38,
2011,Barley,Belgrade Region,7176.0,28485.0,4.0,24.4,35.6
2011,Corn,Belgrade Region,43319.0,223526.0,5.2,21.4,291.29
2011,Wheat,Belgrade Region,34538.0,147400.0,4.3,24.27,34.0
2011,Barley,Southern and Eastern Serbia Region,20675.0,57005.0,2.8,23.7,37.2
2011,Corn,Southern and Eastern Serbia Region,177122.0,747006.0,4.2,24.4,311.58
2011,Wheat,Southern and Eastern Serbia Region,171413.0,581765.0,3.4,25.93,39.31
2011,Barley,Vojvodina Region,31726.0,139250.0,4.4,21.16,31.0
2011,Corn,Vojvodina Region,604078.0,4404542.0,7.3,19.84,300.73
2011,Wheat,Vojvodina Region,304273.0,1483291.0,4.9,22.34,34.02
2011,Barley,Sumadija and Western Serbia Region,21495.0,66872.0,3.1,27.6,36.0
2011,Corn,Sumadija and Western Serbia Region,212340.0,1104490.0,5.2,23.62,284.57
2011,Wheat,Sumadija and Western Serbia Region,109389.0,396732.0,3.6,27.52,39.2
2012,Barley,Belgrade Region,6548.0,23436.0,3.6,27.39,37.0
2012,Corn,Belgrade Region,41754.0,114193.0,2.7,26.0,288.28
2012,Wheat,Belgrade Region,32216.0,125473.0,3.9,26.24,37.0
2012,Barley,Southern and Eastern Serbia Region,19217.0,50490.0,2.6,25.08,38.0
2012,Corn,Southern and Eastern Serbia Region,164010.0,511875.0,3.1,27.51,298.13
2012,Wheat,Southern and Eastern Serbia Region,164659.0,536265.0,3.3,27.24,44.6
2012,Barley,Vojvodina Region,34276.0,139115.0,4.1,25.96,38.25
2012,Corn,Vojvodina Region,578860.0,2283398.0,3.9,22.43,308.85
2012,Wheat,Vojvodina Region,297942.0,1334573.0,4.5,24.58,44.24
2012,Barley,Sumadija and Western Serbia Region,20762.0,65326.0,3.1,29.96,33.06
2012,Corn,Sumadija and Western Serbia Region,191397.0,623136.0,3.3,27.74,301.64
2012,Wheat,Sumadija and Western Serbia Region,108458.0,402913.0,3.7,27.65,38.76
2013,Barley,Belgrade Region,7170.0,29478.0,4.1,25.42,52.0
2013,Corn,Belgrade Region,43516.0,215452.0,5.0,25.46,339.42
2013,Wheat,Belgrade Region,30140.0,126235.0,4.2,23.8,50.0
2013,Barley,Southern and Eastern Serbia Region,19240.0,57437.0,3.0,27.72,52.85
2013,Corn,Southern and Eastern Serbia Region,169683.0,700624.0,4.1,26.77,398.75
2013,Wheat,Southern and Eastern Serbia Region,159506.0,534698.0,3.4,25.57,55.82
2013,Barley,Vojvodina Region,42150.0,198507.0,4.7,24.06,48.5
2013,Corn,Vojvodina Region,565204.0,3954040.0,7.0,28.66,393.42
2013,Wheat,Vojvodina Region,329916.0,1617068.0,4.9,34.68,53.67
2013,Barley,Sumadija and Western Serbia Region,22082.0,76784.0,3.5,29.72,56.1
2013,Corn,Sumadija and Western Serbia Region,201930.0,994303.0,4.9,25.38,383.04
2013,Wheat,Sumadija and Western Serbia Region,112078.0,412265.0,3.7,26.13,59.27
2014,Barley,Belgrade Region,7183.0,26310.0,3.7,20.12,40.0
2014,Corn,Belgrade Region,46958.0,292132.0,6.2,19.87,428.05
2014,Wheat,Belgrade Region,28857.0,112014.0,3.9,20.77,40.5
2014,Barley,Southern and Eastern Serbia Region,19274.0,51265.0,2.7,22.11,37.5
2014,Corn,Southern and Eastern Serbia Region,183105.0,949978.0,5.2,21.58,436.64
2014,Wheat,Southern and Eastern Serbia Region,152715.0,474463.0,3.1,21.59,37.89
2014,Barley,Vojvodina Region,42225.0,177176.0,4.2,20.5,36.3
2014,Corn,Vojvodina Region,609911.0,5361294.0,8.8,16.9,431.88
2014,Wheat,Vojvodina Region,315870.0,1434902.0,4.5,20.81,41.69
2014,Barley,Sumadija and Western Serbia Region,22121.0,68533.0,3.1,24.25,37.71
2014,Corn,Sumadija and Western Serbia Region,217902.0,1348178.0,6.2,20.82,413.12
2014,Wheat,Sumadija and Western Serbia Region,107306.0,365823.0,3.4,23.8,40.57
2015,Barley,Belgrade Region,6466.0,25322.0,3.9,23.21,38.0
2015,Corn,Belgrade Region,43724.0,223998.0,5.1,20.58,432.51
2015,Wheat,Belgrade Region,28934.0,110111.0,3.8,21.67,39.33
2015,Barley,Southern and Eastern Serbia Region,23088.0,68570.0,3.0,26.99,39.77
2015,Corn,Southern and Eastern Serbia Region,179551.0,789384.0,4.4,19.99,424.83
2015,Wheat,Southern and Eastern Serbia Region,136387.0,466789.0,3.4,22.62,46.93
2015,Barley,Vojvodina Region,36975.0,162935.0,4.4,20.71,38.5
2015,Corn,Vojvodina Region,574399.0,3359140.0,5.8,16.33,409.47
2015,Wheat,Vojvodina Region,296832.0,1449898.0,4.9,21.01,46.96
2015,Barley,Sumadija and Western Serbia Region,29455.0,105378.0,3.6,25.94,37.34
2015,Corn,Sumadija and Western Serbia Region,212553.0,1082319.0,5.1,21.12,460.35
2015,Wheat,Sumadija and Western Serbia Region,127769.0,401405.0,3.1,24.58,41.2
2016,Barley,Belgrade Region,5024.0,21357.0,4.3,21.92,47.5
2016,Corn,Belgrade Region,43023.0,259041.0,6.0,21.31,392.65
