Year,Month,CPI index (2006=100)
2007,1,102.2
2007,2,101.9
2007,3,102.5
2007,4,103.2
2007,5,105.1
2007,6,105.5
2007,7,105.3
2007,8,107.9
2007,9,109.5
2007,10,110.1
2007,11,111.7
2007,12,113.0
2008,1,114.0
2008,2,114.6
2008,3,116.4
2008,4,118.2
2008,5,120.3
2008,6,121.2
2008,7,119.8
2008,8,120.3
2008,9,121.4
2008,10,123.7
2008,11,123.9
2008,12,122.7
2009,1,125.4
2009,2,126.9
2009,3,127.4
2009,4,128.6
2009,5,131.3
2009,6,131.3
2009,7,130.0
2009,8,129.9
2009,9,130.3
2009,10,130.1
2009,11,131.1
2009,12,130.8
2010,1,131.4
2010,2,131.8
2010,3,133.4
2010,4,134.1
2010,5,136.1
2010,6,136.7
2010,7,136.6
2010,8,138.5
2010,9,140.3
2010,10,141.7
2010,11,143.7
2010,12,144.2
2011,1,146.2
2011,2,148.3
2011,3,152.2
2011,4,153.8
2011,5,154.4
2011,6,154.0
2011,7,153.2
2011,8,153.1
2011,9,153.3
2011,10,154.0
2011,11,155.3
2011,12,154.3
2012,1,154.4
2012,2,155.7
2012,3,157.4
2012,4,158.3
2012,5,160.5
2012,6,162.4
2012,7,162.6
2012,8,165.3
2012,9,169.1
2012,10,173.8
2012,11,173.8
2012,12,173.1
2013,1,174.1
2013,2,175.1
2013,3,175.1
2013,4,176.5
2013,5,176.5
2013,6,178.2
2013,7,176.6
2013,8,177.3
2013,9,177.3
2013,10,177.6
2013,11,176.5
2013,12,176.9
2014,1,179.5
2014,2,179.7
2014,3,179.1
2014,4,180.1
2014,5,180.2
2014,6,180.4
2014,7,180.2
2014,8,179.9
2014,9,181.1
2014,10,180.8
2014,11,180.8
2014,12,180.0
2015,1,179.6
2015,2,181.1
2015,3,182.4
2015,4,183.4
2015,5,182.9
2015,6,183.8
2015,7,182.1
2015,8,183.7
2015,9,183.7
2015,10,183.3
2015,11,183.1
2015,12,182.8
2016,1,183.8
2016,2,183.7
2016,3,183.5
2016,4,184.2
2016,5,184.3
2016,6,184.4
2016,7,184.3
2016,8,185.9
2016,9,184.8
2016,10,186.1
2016,11,185.9
2016,12,185.6
2017,1,188.3
2017,2,189.6
2017,3,190.0
2017,4,191.5
2017,5,190.6
2017,6,191.0
2017,7,190.2
2017,8,190.5
2017,9,190.7
2017,10,191.2
2017,11,191.1
2017,12,191.2
2018,1,191.8
2018,2,192.4
2018,3,192.7
2018,4,193.5
2018,5,194.7
2018,6,195.4
2018,7,194.8
2018,8,195.4
2018,9,194.8
2018,10,195.4
2018,11,194.8
2018,12,195.0
2019,1,195.7
2019,2,197.1
2019,3,198.0
2019,4,199.4
2019,5,198.9
2019,6,198.4
2019,7,197.9
2019,8,197.9
2019,9,197.0
2019,10,197.3
2019,11,197.6
2019,12,198.6
2020,1,199.7
2020,2,200.9
2020,3,200.7
2020,4,200.8
2020,5,200.3
2020,6,201.5
2020,7,201.9
2020,8,201.7
2020,9,200.7
2020,10,200.9
2020,11,201.0
2020,12,201.1
2021,1,202.0
2021,2,203.3
2021,3,204.3
2021,4,206.4
2021,5,207.5
2021,6,208.1
2021,7,208.6
2021,8,210.4
2021,9,212.1
2021,10,214.1
2021,11,216.0
2021,12,216.9
2022,1,218.7
2022,2,221.1
2022,3,222.9
2022,4,226.3
2022,5,229.1
2022,6,232.8
2022,7,235.2
2022,8,238.1
2022,9,241.7
2022,10,246.2
2022,11,248.6
2022,12,249.7
2023,1,253.2
2023,2,256.7
2023,3,258.9
2023,4,260.6
2023,5,262.9
2023,6,264.8
2023,7,264.7
2023,8,265.6
2023,9,266.4
2023,10,267.1
2023,11,268.4
2023,12,268.8
2024,1,269.6
2024,2,271.1
2024,3,271.8
2024,4,273.6
2024,5,274.7
2024,6,274.9
2024,7,276.0
2024,8,277.1
2024,9,277.5
2024,10,279.1
2024,11,279.9
2024,12,280.3
2025,1,282.0
2025,2,283.4
2025,3,283.6
2025,4,284.5
2025,5,285.1
2025,6,287.6
2025,7,289.5
2025,8,290.2
2025,9,285.6
2025,10,287.0
2025,11,287.7
2025,12,288.0
