Year,Packaging,City,Seed price (RSD),Crop
2010,40kg,Vranje,1480.0,Barley
2010,45kg,Pirot,1620.0,Barley
2010,45kg,Vranje,1665.0,Barley
2010,50kg,Beograd,1780.0,Barley
2010,50kg,Kragujevac,1850.0,Barley
2010,50kg,Kragujevac,1850.0,Barley
2010,50kg,Kraljevo,1750.0,Barley
2010,50kg,Kraljevo,1850.0,Barley
2010,50kg,Loznica,1650.0,Barley
2010,50kg,Niš,1900.0,Barley
2010,50kg,Niš,1900.0,Barley
2010,50kg,Niš,1900.0,Barley
2010,50kg,Pančevo,1750.0,Barley
2010,50kg,Pančevo,1700.0,Barley
2010,50kg,Požarevac,1900.0,Barley
2010,50kg,Smederevo,1800.0,Barley
2010,50kg,Sombor,1500.0,Barley
2010,50kg,Sombor,1500.0,Barley
2010,50kg,Sombor,1400.0,Barley
2010,50kg,Subotica,1450.0,Barley
2010,50kg,Zaječar,1850.0,Barley
2010,50kg,Zaječar,1850.0,Barley
2010,50kg,Čačak,1850.0,Barley
2010,25000 sj,Beograd,2900.0,Corn
2010,25000 sj,Beograd,2400.0,Corn
2010,25000 sj,Beograd,3300.0,Corn
2010,25000 sj,Beograd,2900.0,Corn
2010,25000 sj,Beograd,2590.0,Corn
2010,25000 sj,Beograd,2500.0,Corn
2010,25000 sj,Beograd,2200.0,Corn
2010,25000 sj,Beograd,3560.0,Corn
2010,25000 sj,Kikinda,2394.0,Corn
2010,25000 sj,Kikinda,2381.0,Corn
2010,25000 sj,Kikinda,2140.0,Corn
2010,25000 sj,Kikinda,2140.0,Corn
2010,25000 sj,Kikinda,2620.0,Corn
2010,25000 sj,Kikinda,3140.0,Corn
2010,25000 sj,Kikinda,2810.0,Corn
2010,25000 sj,Kikinda,2500.0,Corn
2010,25000 sj,Kikinda,2300.0,Corn
2010,25000 sj,Kikinda,2200.0,Corn
2010,25000 sj,Kikinda,2030.0,Corn
2010,25000 sj,Kikinda,3147.0,Corn
2010,25000 sj,Kikinda,3147.0,Corn
2010,25000 sj,Kikinda,2585.0,Corn
2010,25000 sj,Kikinda,3050.0,Corn
2010,25000 sj,Kragujevac,2500.0,Corn
2010,25000 sj,Kragujevac,2400.0,Corn
2010,25000 sj,Kragujevac,2400.0,Corn
2010,25000 sj,Kragujevac,2900.0,Corn
2010,25000 sj,Kragujevac,3300.0,Corn
2010,25000 sj,Kragujevac,2750.0,Corn
2010,25000 sj,Kragujevac,2850.0,Corn
2010,25000 sj,Kragujevac,2500.0,Corn
2010,25000 sj,Kragujevac,2400.0,Corn
2010,25000 sj,Kragujevac,2400.0,Corn
2010,25000 sj,Kragujevac,3450.0,Corn
2010,25000 sj,Kragujevac,3450.0,Corn
2010,25000 sj,Kragujevac,3800.0,Corn
2010,25000 sj,Kragujevac,3500.0,Corn
2010,25000 sj,Kraljevo,2670.0,Corn
2010,25000 sj,Kraljevo,2370.0,Corn
2010,25000 sj,Kraljevo,2180.0,Corn
2010,25000 sj,Kraljevo,3400.0,Corn
2010,25000 sj,Kraljevo,3200.0,Corn
2010,25000 sj,Kraljevo,2450.0,Corn
2010,25000 sj,Kraljevo,2150.0,Corn
2010,25000 sj,Kraljevo,3200.0,Corn
2010,25000 sj,Loznica,2264.0,Corn
2010,25000 sj,Loznica,2011.0,Corn
2010,25000 sj,Loznica,2990.0,Corn
2010,25000 sj,Loznica,2850.0,Corn
2010,25000 sj,Loznica,2600.0,Corn
2010,25000 sj,Loznica,2280.0,Corn
2010,25000 sj,Loznica,2400.0,Corn
2010,25000 sj,Loznica,3350.0,Corn
2010,25000 sj,Niš,2490.0,Corn
2010,25000 sj,Niš,2270.0,Corn
2010,25000 sj,Niš,2800.0,Corn
2010,25000 sj,Niš,2290.0,Corn
2010,25000 sj,Niš,2350.0,Corn
2010,25000 sj,Niš,3600.0,Corn
2010,25000 sj,Niš,2500.0,Corn
2010,25000 sj,Novi Sad,2474.0,Corn
2010,25000 sj,Novi Sad,2474.0,Corn
2010,25000 sj,Novi Sad,2198.0,Corn
2010,25000 sj,Novi Sad,2198.0,Corn
2010,25000 sj,Novi Sad,3450.0,Corn
2010,25000 sj,Novi Sad,3450.0,Corn
2010,25000 sj,Novi Sad,3500.0,Corn
2010,25000 sj,Novi Sad,2750.0,Corn
2010,25000 sj,Novi Sad,2498.0,Corn
2010,25000 sj,Novi Sad,2498.0,Corn
2010,25000 sj,Novi Sad,2498.0,Corn
2010,25000 sj,Novi Sad,3200.0,Corn
2010,25000 sj,Novi Sad,3550.0,Corn
2010,25000 sj,Novi Sad,3460.0,Corn
2010,25000 sj,Novi Sad,3460.0,Corn
2010,25000 sj,Novi Sad,3500.0,Corn
2010,25000 sj,Novi Sad,3100.0,Corn
2010,25000 sj,Pančevo,2100.0,Corn
2010,25000 sj,Pančevo,1900.0,Corn
2010,25000 sj,Pančevo,1900.0,Corn
2010,25000 sj,Pančevo,3300.0,Corn
2010,25000 sj,Pančevo,2900.0,Corn
2010,25000 sj,Pančevo,2600.0,Corn
2010,25000 sj,Pančevo,2300.0,Corn
2010,25000 sj,Pančevo,2100.0,Corn
2010,25000 sj,Pančevo,1900.0,Corn
2010,25000 sj,Pančevo,1900.0,Corn
2010,25000 sj,Pančevo,2800.0,Corn
2010,25000 sj,Pančevo,3100.0,Corn
2010,25000 sj,Pančevo,3150.0,Corn
2010,25000 sj,Pančevo,3100.0,Corn
2010,25000 sj,Pančevo,3000.0,Corn
2010,25000 sj,Pančevo,2600.0,Corn
2010,25000 sj,Pirot,2690.0,Corn
2010,25000 sj,Pirot,2390.0,Corn
2010,25000 sj,Pirot,2390.0,Corn
2010,25000 sj,Pirot,2970.0,Corn
2010,25000 sj,Pirot,2690.0,Corn
2010,25000 sj,Pirot,2350.0,Corn
2010,25000 sj,Pirot,3500.0,Corn
2010,25000 sj,Požarevac,2490.0,Corn
2010,25000 sj,Požarevac,2190.0,Corn
2010,25000 sj,Požarevac,2150.0,Corn
2010,25000 sj,Požarevac,3400.0,Corn
2010,25000 sj,Požarevac,2970.0,Corn
2010,25000 sj,Požarevac,2390.0,Corn
2010,25000 sj,Požarevac,2100.0,Corn
2010,25000 sj,Požarevac,3190.0,Corn
2010,25000 sj,Požarevac,3550.0,Corn
2010,25000 sj,Požarevac,2600.0,Corn
2010,25000 sj,Požarevac,3230.0,Corn
2010,25000 sj,Požarevac,2000.0,Corn
2010,25000 sj,Smederevo,2300.0,Corn
2010,25000 sj,Smederevo,3000.0,Corn
2010,25000 sj,Smederevo,2500.0,Corn
2010,25000 sj,Smederevo,3900.0,Corn
2010,25000 sj,Smederevo,2700.0,Corn
2010,25000 sj,Sombor,2010.0,Corn
2010,25000 sj,Sombor,2000.0,Corn
2010,25000 sj,Sombor,1959.0,Corn
2010,25000 sj,Sombor,3100.0,Corn
2010,25000 sj,Sombor,2800.0,Corn
2010,25000 sj,Sombor,2700.0,Corn
2010,25000 sj,Sombor,2500.0,Corn
2010,25000 sj,Sombor,2321.0,Corn
2010,25000 sj,Sombor,2320.0,Corn
2010,25000 sj,Sombor,3050.0,Corn
2010,25000 sj,Sombor,2704.0,Corn
2010,25000 sj,Sremska Mitrovica,2100.0,Corn
2010,25000 sj,Sremska Mitrovica,2150.0,Corn
2010,25000 sj,Sremska Mitrovica,2250.0,Corn
2010,25000 sj,Sremska Mitrovica,2950.0,Corn
2010,25000 sj,Sremska Mitrovica,3100.0,Corn
2010,25000 sj,Sremska Mitrovica,2100.0,Corn
2010,25000 sj,Sremska Mitrovica,2250.0,Corn
2010,25000 sj,Sremska Mitrovica,2350.0,Corn
2010,25000 sj,Sremska Mitrovica,3200.0,Corn
2010,25000 sj,Sremska Mitrovica,3300.0,Corn
2010,25000 sj,Sremska Mitrovica,3300.0,Corn
2010,25000 sj,Sremska Mitrovica,2950.0,Corn
2010,25000 sj,Sremska Mitrovica,2900.0,Corn
2010,25000 sj,Subotica,2350.0,Corn
2010,25000 sj,Subotica,1970.0,Corn
2010,25000 sj,Subotica,1770.0,Corn
2010,25000 sj,Subotica,3350.0,Corn
2010,25000 sj,Subotica,2930.0,Corn
2010,25000 sj,Subotica,2650.0,Corn
2010,25000 sj,Subotica,2350.0,Corn
2010,25000 sj,Subotica,2200.0,Corn
2010,25000 sj,Subotica,2050.0,Corn
2010,25000 sj,Subotica,3000.0,Corn
2010,25000 sj,Subotica,3000.0,Corn
2010,25000 sj,Subotica,3050.0,Corn
