date,crop,packaging,city,price_type,price_rsd
04.01.2010,Corn,bag 50kg,Beograd,market,12.0
11.01.2010,Corn,bag 50kg,Beograd,market,12.0
18.01.2010,Corn,bag 50kg,Beograd,market,12.0
25.01.2010,Corn,bag 50kg,Beograd,market,12.0
01.02.2010,Corn,bag 50kg,Beograd,market,12.0
08.02.2010,Corn,bag 50kg,Beograd,market,12.0
15.02.2010,Corn,bag 50kg,Beograd,market,12.0
22.02.2010,Corn,bag 50kg,Beograd,market,12.0
01.03.2010,Corn,bag 50kg,Beograd,market,12.0
08.03.2010,Corn,bag 50kg,Beograd,market,12.0
15.03.2010,Corn,bag 50kg,Beograd,market,12.0
29.03.2010,Corn,bag 50kg,Beograd,market,12.0
05.04.2010,Corn,bag 50kg,Beograd,market,12.0
12.04.2010,Corn,bag 50kg,Beograd,market,12.0
19.04.2010,Corn,bag 50kg,Beograd,market,12.0
26.04.2010,Corn,bag 50kg,Beograd,market,13.0
03.05.2010,Corn,bag 50kg,Beograd,market,14.0
10.05.2010,Corn,bag 50kg,Beograd,market,14.0
17.05.2010,Corn,bag 50kg,Beograd,market,14.0
24.05.2010,Corn,bag 50kg,Beograd,market,14.0
31.05.2010,Corn,bag 50kg,Beograd,market,14.0
07.06.2010,Corn,bag 50kg,Beograd,market,15.0
14.06.2010,Corn,bag 50kg,Beograd,market,15.0
21.06.2010,Corn,bag 50kg,Beograd,market,15.0
28.06.2010,Corn,bag 50kg,Beograd,market,16.0
05.07.2010,Corn,bag 50kg,Beograd,market,16.0
12.07.2010,Corn,bag 50kg,Beograd,market,18.0
19.07.2010,Corn,bag 50kg,Beograd,market,20.0
26.07.2010,Corn,bag 50kg,Beograd,market,20.0
02.08.2010,Corn,bag 50kg,Beograd,market,20.0
09.08.2010,Corn,bag 50kg,Beograd,market,20.0
16.08.2010,Corn,bag 50kg,Beograd,market,20.0
23.08.2010,Corn,bag 50kg,Beograd,market,20.0
30.08.2010,Corn,bulk,Beograd,silo,14.0
30.08.2010,Corn,bag 50kg,Beograd,market,20.0
06.09.2010,Corn,bulk,Beograd,silo,21.0
06.09.2010,Corn,bag 50kg,Beograd,market,20.0
13.09.2010,Corn,bulk,Beograd,silo,21.0
13.09.2010,Corn,bag 50kg,Beograd,market,22.0
20.09.2010,Corn,bulk,Beograd,silo,19.5
20.09.2010,Corn,bag 50kg,Beograd,market,20.0
27.09.2010,Corn,bag 50kg,Beograd,market,23.0
04.10.2010,Corn,bag 50kg,Beograd,market,22.0
11.10.2010,Corn,bag 50kg,Beograd,market,20.0
18.10.2010,Corn,bag 50kg,Beograd,market,20.0
25.10.2010,Corn,bag 50kg,Beograd,market,20.0
01.11.2010,Corn,bag 50kg,Beograd,market,18.0
01.11.2010,Corn,bulk,Beograd,market,12.0
08.11.2010,Corn,bag 50kg,Beograd,market,18.0
15.11.2010,Corn,bag 50kg,Beograd,market,18.0
22.11.2010,Corn,bag 50kg,Beograd,market,16.0
29.11.2010,Corn,bag 50kg,Beograd,market,16.0
06.12.2010,Corn,bag 50kg,Beograd,market,16.0
13.12.2010,Corn,bag 50kg,Beograd,market,18.0
20.12.2010,Corn,bag 50kg,Beograd,market,18.0
27.12.2010,Corn,bag 50kg,Beograd,market,18.0
03.01.2011,Corn,bag 50kg,Beograd,market,18.0
10.01.2011,Corn,bag 50kg,Beograd,market,20.0
17.01.2011,Corn,bag 50kg,Beograd,market,20.0
24.01.2011,Corn,bag 50kg,Beograd,market,20.0
31.01.2011,Corn,bag 50kg,Beograd,market,20.0
07.02.2011,Corn,bag 50kg,Beograd,market,20.0
14.02.2011,Corn,bag 50kg,Beograd,market,20.0
21.02.2011,Corn,bag 50kg,Beograd,market,20.0
28.02.2011,Corn,bag 50kg,Beograd,market,22.0
07.03.2011,Corn,bag 50kg,Beograd,market,22.0
14.03.2011,Corn,bag 50kg,Beograd,market,20.0
21.03.2011,Corn,bag 50kg,Beograd,market,20.0
28.03.2011,Corn,bag 50kg,Beograd,market,20.0
04.04.2011,Corn,bag 50kg,Beograd,market,20.0
11.04.2011,Corn,bag 50kg,Beograd,market,20.0
18.04.2011,Corn,bag 50kg,Beograd,market,20.0
25.04.2011,Corn,bag 50kg,Beograd,market,22.0
02.05.2011,Corn,bag 50kg,Beograd,market,24.0
09.05.2011,Corn,bag 50kg,Beograd,market,24.0
16.05.2011,Corn,bag 50kg,Beograd,market,24.0
23.05.2011,Corn,bag 50kg,Beograd,market,24.0
30.05.2011,Corn,bag 50kg,Beograd,market,22.0
06.06.2011,Corn,bag 50kg,Beograd,market,22.0
13.06.2011,Corn,bag 50kg,Beograd,market,22.0
20.06.2011,Corn,bag 50kg,Beograd,market,22.0
27.06.2011,Corn,bag 50kg,Beograd,market,22.0
04.07.2011,Corn,bag 50kg,Beograd,market,24.0
11.07.2011,Corn,bag 50kg,Beograd,market,24.0
18.07.2011,Corn,bag 50kg,Beograd,market,25.0
25.07.2011,Corn,bag 50kg,Beograd,market,26.0
01.08.2011,Corn,bag 50kg,Beograd,market,26.0
08.08.2011,Corn,bag 50kg,Beograd,market,26.0
15.08.2011,Corn,bag 50kg,Beograd,market,26.0
22.08.2011,Corn,bag 50kg,Beograd,market,25.0
29.08.2011,Corn,bag 50kg,Beograd,market,23.0
05.09.2011,Corn,bag 50kg,Beograd,market,24.0
12.09.2011,Corn,bag 50kg,Beograd,market,22.0
19.09.2011,Corn,bag 50kg,Beograd,market,22.0
26.09.2011,Corn,bag 50kg,Beograd,market,22.0
03.10.2011,Corn,bag 50kg,Beograd,market,22.0
10.10.2011,Corn,bag 50kg,Beograd,market,22.0
17.10.2011,Corn,bag 50kg,Beograd,market,20.0
24.10.2011,Corn,bag 50kg,Beograd,market,18.0
31.10.2011,Corn,bag 50kg,Beograd,market,18.0
07.11.2011,Corn,bag 50kg,Beograd,market,18.0
14.11.2011,Corn,bag 50kg,Beograd,market,18.0
21.11.2011,Corn,bag 50kg,Beograd,market,18.0
28.11.2011,Corn,bag 50kg,Beograd,market,18.0
05.12.2011,Corn,bag 50kg,Beograd,market,20.0
12.12.2011,Corn,bag 50kg,Beograd,market,20.0
19.12.2011,Corn,bag 50kg,Beograd,market,18.0
26.12.2011,Corn,bag 50kg,Beograd,market,18.0
02.01.2012,Corn,bag 50kg,Beograd,market,20.0
16.01.2012,Corn,bag 50kg,Beograd,market,20.0
23.01.2012,Corn,bag 50kg,Beograd,market,20.0
30.01.2012,Corn,bag 50kg,Beograd,market,20.0
06.02.2012,Corn,bag 50kg,Beograd,market,20.0
13.02.2012,Corn,bag 50kg,Beograd,market,20.0
20.02.2012,Corn,bag 50kg,Beograd,market,20.0
27.02.2012,Corn,bag 50kg,Beograd,retail,22.0
27.02.2012,Corn,bag 50kg,Beograd,market,22.0
05.03.2012,Corn,bag 50kg,Beograd,market,22.0
12.03.2012,Corn,bag 50kg,Beograd,market,21.0
19.03.2012,Corn,bag 50kg,Beograd,market,20.0
26.03.2012,Corn,bag 50kg,Beograd,market,20.0
02.04.2012,Corn,bag 50kg,Beograd,market,20.0
09.04.2012,Corn,bag 50kg,Beograd,market,22.0
16.04.2012,Corn,bag 50kg,Beograd,market,22.0
23.04.2012,Corn,bag 50kg,Beograd,market,22.0
30.04.2012,Corn,bag 50kg,Beograd,market,22.0
07.05.2012,Corn,bag 50kg,Beograd,market,22.0
14.05.2012,Corn,bag 50kg,Beograd,market,22.0
21.05.2012,Corn,bag 50kg,Beograd,market,22.0
28.05.2012,Corn,bag 50kg,Beograd,market,22.0
04.06.2012,Corn,bag 50kg,Beograd,market,24.0
11.06.2012,Corn,bag 50kg,Beograd,market,24.0
18.06.2012,Corn,bag 50kg,Beograd,market,24.0
25.06.2012,Corn,bag 50kg,Beograd,market,24.0
02.07.2012,Corn,bag 50kg,Beograd,market,23.0
09.07.2012,Corn,bag 50kg,Beograd,market,24.0
16.07.2012,Corn,bag 50kg,Beograd,market,26.0
23.07.2012,Corn,bag 50kg,Beograd,market,30.0
30.07.2012,Corn,bag 50kg,Beograd,market,30.0
06.08.2012,Corn,bag 50kg,Beograd,market,30.0
13.08.2012,Corn,bag 50kg,Beograd,market,30.0
20.08.2012,Corn,bag 50kg,Beograd,market,30.0
27.08.2012,Corn,bag 50kg,Beograd,market,30.0
03.09.2012,Corn,bag 50kg,Beograd,market,30.0
10.09.2012,Corn,bag 50kg,Beograd,market,30.0
17.09.2012,Corn,bag 50kg,Beograd,market,30.0
24.09.2012,Corn,bag 50kg,Beograd,market,32.0
01.10.2012,Corn,bag 50kg,Beograd,market,32.0
08.10.2012,Corn,bag 50kg,Beograd,market,32.0
15.10.2012,Corn,bag 50kg,Beograd,market,32.0
22.10.2012,Corn,bag 50kg,Beograd,market,32.0
29.10.2012,Corn,bag 50kg,Beograd,market,30.0
05.11.2012,Corn,bag 50kg,Beograd,market,30.0
12.11.2012,Corn,bag 50kg,Beograd,market,30.0
19.11.2012,Corn,bag 50kg,Beograd,market,30.0
26.11.2012,Corn,bag 50kg,Beograd,market,30.0
03.12.2012,Corn,bag 50kg,Beograd,market,32.0
10.12.2012,Corn,bag 50kg,Beograd,market,32.0
17.12.2012,Corn,bag 50kg,Beograd,market,32.0
24.12.2012,Corn,bag 50kg,Beograd,retail,32.0
24.12.2012,Corn,bag 50kg,Beograd,market,32.0
31.12.2012,Corn,bag 50kg,Beograd,market,32.0
07.01.2013,Corn,bag 50kg,Beograd,market,30.0
14.01.2013,Corn,bag 50kg,Beograd,market,30.0
21.01.2013,Corn,bag 50kg,Beograd,market,32.0
28.01.2013,Corn,bag 50kg,Beograd,market,32.0
04.02.2013,Corn,bag 50kg,Beograd,market,32.0
11.02.2013,Corn,bag 50kg,Beograd,market,30.0
