IDIndikator;skrIndikator;IDTer;nTer;God+Mes;nVrTacka;nProizvod;IDVrPod;nVrPod;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201000;2010;Pšenica;1;požnjevena površina, ha / rodna površina, ha;33256;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201000;2010;Pšenica;2;ukupan prinos, t;111077;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201000;2010;Pšenica;3;prinos, t/ha;3.3;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201000;2010;Ječam;1;požnjevena površina, ha / rodna površina, ha;7297;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201000;2010;Ječam;2;ukupan prinos, t;23371;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201000;2010;Ječam;3;prinos, t/ha;3.2;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201000;2010;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;43090;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201000;2010;Kukuruz;2;ukupan prinos, t;259374;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201000;2010;Kukuruz;3;prinos, t/ha;6.0;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201100;2011;Pšenica;1;požnjevena površina, ha / rodna površina, ha;34538;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201100;2011;Pšenica;2;ukupan prinos, t;147400;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201100;2011;Pšenica;3;prinos, t/ha;4.3;A;Konačan podatak;F;Slobodan za objavlјivanje;;
