proizvod,poreklo,datum,mesto_id,cena
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,04.01.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,11.01.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,18.01.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,25.01.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,01.02.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,08.02.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,15.02.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,22.02.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,01.03.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,08.03.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,15.03.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,29.03.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,05.04.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,12.04.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,19.04.2010,Beograd-pijaca,12.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,26.04.2010,Beograd-pijaca,13.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,03.05.2010,Beograd-pijaca,14.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,10.05.2010,Beograd-pijaca,14.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,17.05.2010,Beograd-pijaca,14.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,24.05.2010,Beograd-pijaca,14.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,31.05.2010,Beograd-pijaca,14.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,07.06.2010,Beograd-pijaca,15.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,14.06.2010,Beograd-pijaca,15.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,21.06.2010,Beograd-pijaca,15.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,28.06.2010,Beograd-pijaca,16.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,05.07.2010,Beograd-pijaca,16.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,12.07.2010,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,19.07.2010,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,26.07.2010,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,02.08.2010,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,09.08.2010,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,16.08.2010,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,23.08.2010,Beograd-pijaca,20.00
"Kukuruz (okrunjen, veštački sušen) p:rinfuz",Domaće,30.08.2010,Beograd-silos,14.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,30.08.2010,Beograd-pijaca,20.00
"Kukuruz (okrunjen, veštački sušen) p:rinfuz",Domaće,06.09.2010,Beograd-silos,21.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,06.09.2010,Beograd-pijaca,20.00
"Kukuruz (okrunjen, veštački sušen) p:rinfuz",Domaće,13.09.2010,Beograd-silos,21.00
